City,Hotel title,Status ECO,lat,lon
Barcelone,NH Collection Barcelona Gran Hotel Calderón,YES,41.382894,2.177432
Barcelone,NH Sants Barcelona,YES,41.382895,2.177433
Barcelone,NH Barcelona Les Corts,no,41.382896,2.177434
Barcelone,NH Collection Barcelona Constanza,YES,41.382897,2.177435
Barcelone,NH Collection Barcelona Pódium,YES,41.382898,2.177436
Barcelone,NH Barcelona Eixample,YES,41.382899,2.177437
Barcelone,NH Barcelona Diagonal Center,no,41.382900,2.177438
Barcelone,NH Barcelona Entenza,no,41.382901,2.177439
Barcelone,NH Barcelona Stadium,YES,41.382902,2.177440
Barcelone,NH Porta Barcelona,YES,41.382903,2.177441
Barcelone,NH Sant Boi,no,41.382904,2.177442
Milan,NH Milano Touring,YES,45.4668,9.1905
Milan,NH Collection Milano President,YES,45.4669,9.1906
Milan,nhow Milano,YES,45.4670,9.1907
Milan,NH Collection Milano Porta Nuova,YES,45.4671,9.1908
Milan,NH Milano Palazzo Moscova,YES,45.4672,9.1909
Milan,NH Milano Machiavelli,YES,45.4673,9.1910
Milan,NH Milano Concordia,YES,45.4674,9.1911
Milan,NH Milano Congress Centre,no,45.4675,9.1912
Milan,NH Milano 2 Residence,YES,45.4676,9.1913
Milan,NH Milano Fiera,YES,45.4677,9.1914
Milan,NH Milano 2,YES,45.4678,9.1915
Milan,NH Linate,YES,45.4679,9.1916
Rome,NH Collection Roma Palazzo Cinquecento,YES,41.89332,12.482932
Rome,NH Collection Roma Giustiniano,YES,41.89333,12.482933
Rome,NH Collection Roma Centro,YES,41.89334,12.482934
Rome,Anantara Palazzo Naiadi Rome Hotel,no,41.89335,12.482935
Rome,NH Collection Roma Vittorio Veneto,YES,41.89336,12.482936
Rome,NH Collection Roma Fori Imperiali,YES,41.89337,12.482937
Rome,NH Roma Villa Carpegna,YES,41.89338,12.482938
Madrid,NH Collection Madrid Gran Vía,no,40.4167047,-3.7035825
Madrid,NH Collection Madrid Eurobuilding,YES,40.4167048,-3.7035826
Madrid,NH Collection Madrid Suecia,YES,40.4167049,-3.7035827
Madrid,NH Collection Madrid Colón,YES,40.4167050,-3.7035828
Madrid,NH Madrid Nacional,YES,40.4167051,-3.7035829
Madrid,NH Madrid Zurbano,YES,40.4167052,-3.7035830
Madrid,NH Madrid Alonso Martínez,YES,40.4167053,-3.7035831
Madrid,NH Madrid Lagasca,no,40.4167054,-3.7035832
Madrid,NH Madrid Ribera del Manzanares,YES,40.4167055,-3.7035833
Madrid,NH Madrid Príncipe de Vergara,no,40.4167056,-3.7035834
Madrid,NH Madrid Chamberí,no,40.4167057,-3.7035835
Madrid,NH Madrid Paseo de la Habana,no,40.4167058,-3.7035836
Madrid,NH Collection Madrid Palacio de Tepa,YES,40.4167059,-3.7035837
Madrid,NH Collection Madrid Paseo del Prado,YES,40.4167060,-3.7035838
Madrid,NH Collection Madrid Abascal,YES,40.4167061,-3.7035839
Madrid,NH Madrid Atocha,no,40.4167062,-3.7035840
